F:\Data\IMG\IMG\center_2020_10_03_16_23_09_088.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_09_088.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_09_088.jpg, 0, 0, 0, 0.0001265339
F:\Data\IMG\IMG\center_2020_10_03_16_23_09_190.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_09_190.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_09_190.jpg, 0, 0, 0, 0.0001271924
F:\Data\IMG\IMG\center_2020_10_03_16_23_09_293.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_09_293.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_09_293.jpg, 0, 0, 0, 0.0001257414
F:\Data\IMG\IMG\center_2020_10_03_16_23_09_395.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_09_395.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_09_395.jpg, 0, 0, 0, 0.0001282146
F:\Data\IMG\IMG\center_2020_10_03_16_23_09_504.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_09_504.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_09_504.jpg, 0, 0, 0, 0.0001260799
F:\Data\IMG\IMG\center_2020_10_03_16_23_09_610.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_09_610.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_09_610.jpg, 0, 0, 0, 0.0001260111
F:\Data\IMG\IMG\center_2020_10_03_16_23_09_717.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_09_717.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_09_717.jpg, 0, 0, 0, 0.0001257932
F:\Data\IMG\IMG\center_2020_10_03_16_23_09_819.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_09_819.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_09_819.jpg, 0, 0, 0, 0.0001260969
F:\Data\IMG\IMG\center_2020_10_03_16_23_09_920.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_09_920.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_09_920.jpg, 0, 0, 0, 0.0001258011
F:\Data\IMG\IMG\center_2020_10_03_16_23_10_024.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_10_024.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_10_024.jpg, 0, 0, 0, 0.0001261936
F:\Data\IMG\IMG\center_2020_10_03_16_23_10_128.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_10_128.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_10_128.jpg, 0, 0, 0, 0.0001263979
F:\Data\IMG\IMG\center_2020_10_03_16_23_10_234.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_10_234.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_10_234.jpg, 0, 0, 0, 0.0001262505
F:\Data\IMG\IMG\center_2020_10_03_16_23_10_341.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_10_341.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_10_341.jpg, 0, 0.2797566, 0, 0.2850951
F:\Data\IMG\IMG\center_2020_10_03_16_23_10_445.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_10_445.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_10_445.jpg, 0, 0.6315774, 0, 1.001046
F:\Data\IMG\IMG\center_2020_10_03_16_23_10_553.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_10_553.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_10_553.jpg, 0, 0.9559711, 0, 2.094758
F:\Data\IMG\IMG\center_2020_10_03_16_23_10_657.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_10_657.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_10_657.jpg, 0, 1, 0, 3.274864
F:\Data\IMG\IMG\center_2020_10_03_16_23_10_769.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_10_769.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_10_769.jpg, 0, 1, 0, 4.680503
F:\Data\IMG\IMG\center_2020_10_03_16_23_10_881.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_10_881.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_10_881.jpg, 0, 1, 0, 5.838681
F:\Data\IMG\IMG\center_2020_10_03_16_23_10_991.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_10_991.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_10_991.jpg, 0.2855982, 1, 0, 7.182923
F:\Data\IMG\IMG\center_2020_10_03_16_23_11_097.jpg, F:\Data\IMG\IMG\left_2020_10_03_16_23_11_097.jpg, F:\Data\IMG\IMG\right_2020_10_03_16_23_11_097.jpg, 0.009723607, 0.9703843, 0, 8.30832
